BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER
BORDER,SPEED,EMPTY,UWALL,EMPTY,HEAL,EMPTY,EMPTY,EMPTY,UWALL,EMPTY,EMPTY,EMPTY,UWALL,BWALL,BWALL,BWALL,BWALL,BARRAGE,BWALL,BWALL,BWALL,BWALL,UWALL,EMPTY,EMPTY,EMPTY,UWALL,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,BORDER
BORDER,EMPTY,EMPTY,UWALL,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,UWALL,EMPTY,EMPTY,EMPTY,UWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,UWALL,EMPTY,EMPTY,EMPTY,UWALL,HEAL,EMPTY,HEAL,EMPTY,HEAL,EMPTY,HEAL,EMPTY,HEAL,EMPTY,HEAL,BORDER
BORDER,EMPTY,EMPTY,UWALL,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,UWALL,EMPTY,EMPTY,EMPTY,UWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,UWALL,EMPTY,EMPTY,EMPTY,UWALL,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,BORDER
BORDER,BWALL,BWALL,UWALL,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,UWALL,EMPTY,EMPTY,EMPTY,UWALL,HEAL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,HEAL,UWALL,EMPTY,EMPTY,EMPTY,UWALL,UWALL,UWALL,UWALL,UWALL,UWALL,BWALL,UWALL,UWALL,UWALL,UWALL,UWALL,BORDER
BORDER,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,BWALL,EMPTY,EMPTY,EMPTY,UWALL,HEAL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,HEAL,UWALL,EMPTY,EMPTY,EMPTY,BWALL,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,BORDER
BORDER,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,BWALL,EMPTY,EMPTY,EMPTY,UWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,UWALL,EMPTY,EMPTY,EMPTY,BWALL,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,BORDER
BORDER,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,BWALL,EMPTY,EMPTY,EMPTY,UWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,UWALL,EMPTY,EMPTY,EMPTY,BWALL,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,BORDER
BORDER,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,BWALL,EMPTY,EMPTY,EMPTY,UWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,BWALL,UWALL,EMPTY,EMPTY,EMPTY,BWALL,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,BORDER
BORDER,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,UWALL,EMPTY,EMPTY,EMPTY,UWALL,UWALL,UWALL,UWALL,UWALL,BWALL,UWALL,UWALL,UWALL,UWALL,UWALL,EMPTY,EMPTY,EMPTY,UWALL,UWALL,UWALL,UWALL,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,BORDER
